d3d      I E:\LIBS\LIBS81Rebuild\allegro525\src\win\d3d_disp.cpp:781  d3d_create_device                [   0.03663] Using no depth stencil buffer
d3d      D E:\LIBS\LIBS81Rebuild\allegro525\src\win\d3d_disp.cpp:839  d3d_create_device                [   0.04656] BeginScene succeeded in create_device
d3d      D E:\LIBS\LIBS81Rebuild\allegro525\src\win\d3d_disp.cpp:847  d3d_create_device                [   0.04658] Success
d3d      D E:\LIBS\LIBS81Rebuild\allegro525\src\win\d3d_disp.cpp:1691 d3d_create_display_internals     [   0.04660] Resumed after wait.
d3d      I E:\LIBS\LIBS81Rebuild\allegro525\src\win\d3d_disp.cpp:1724 d3d_create_display_internals     [   0.04662] Format 0 succeeded.
d3d      D E:\LIBS\LIBS81Rebuild\allegro525\src\win\d3d_disp.cpp:1755 d3d_create_display_internals     [   0.04665] Returning d3d_display: 0102E830
d3d      D E:\LIBS\LIBS81Rebuild\allegro525\src\win\d3d_disp.cpp:1780 d3d_create_display_locked        [   0.04666] al_display=0102E830
d3d      D E:\LIBS\LIBS81Rebuild\allegro525\src\win\d3d_disp.cpp:1781 d3d_create_display_locked        [   0.04667] al_display->vt=0102DF08
system   D E:\LIBS\LIBS81Rebuild\allegro525\src\win\wsystem.c:852  _al_win_safe_load_library        [   0.04697] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D E:\LIBS\LIBS81Rebuild\allegro525\src\win\wsystem.c:763  load_library_at_path             [   0.04698] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I E:\LIBS\LIBS81Rebuild\allegro525\src\win\wsystem.c:766  load_library_at_path             [   0.04748] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I E:\LIBS\LIBS81Rebuild\allegro525\src\win\d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.04750] Module "d3dx9_43.dll" loaded.
dtor     D E:\LIBS\LIBS81Rebuild\allegro525\src\dtor.c:196  _al_register_destructor          [   0.04759] added dtor for bitmap 029D9AA0, func 67781C90
dtor     D E:\LIBS\LIBS81Rebuild\allegro525\src\dtor.c:196  _al_register_destructor          [   0.04827] added dtor for bitmap 029F3718, func 67781C90
dtor     D E:\LIBS\LIBS81Rebuild\allegro525\src\dtor.c:196  _al_register_destructor          [   0.04987] added dtor for bitmap 02A0D518, func 67781C90
dtor     D E:\LIBS\LIBS81Rebuild\allegro525\src\dtor.c:196  _al_register_destructor          [   0.05006] added dtor for sub_bitmap 02A40C88, func 67781C90
dtor     D E:\LIBS\LIBS81Rebuild\allegro525\src\dtor.c:196  _al_register_destructor          [   0.05007] added dtor for sub_bitmap 02A40E08, func 67781C90
